director_name,duration,genres,movie_title,language,budget,imdb_score
Tarsem Singh,106.0,Adventure|Comedy|Drama|Family|Fantasy,Mirror Mirror ,English,85000000.0,5.6
Edgar Wright,112.0,Action|Comedy|Fantasy|Romance,Scott Pilgrim vs. the World ,English,60000000.0,7.5
Jon Amiel,135.0,Action|Adventure|Sci-Fi|Thriller,The Core ,English,60000000.0,5.4
Peter Segal,109.0,Comedy|Romance|Sci-Fi,Nutty Professor II: The Klumps ,English,65000000.0,4.3
Raja Gosnell,86.0,Adventure|Comedy|Mystery,Scooby-Doo ,English,84000000.0,4.9
Pete Travis,95.0,Action|Sci-Fi,Dredd ,English,35000000.0,7.1
Frank Coraci,107.0,Comedy|Drama|Fantasy|Romance,Click ,English,70000000.0,6.4
George A. Romero,130.0,Comedy|Fantasy|Horror,Creepshow ,English,8000000.0,6.9
Brad Peyton,82.0,Action|Comedy|Family|Fantasy,Cats & Dogs: The Revenge of Kitty Galore ,English,85000000.0,4.3
Doug Liman,88.0,Action|Adventure|Sci-Fi|Thriller,Jumper ,English,85000000.0,6.1
Guillermo del Toro,120.0,Action|Adventure|Fantasy|Horror|Sci-Fi,Hellboy II: The Golden Army ,English,85000000.0,7.0
Roger Spottiswoode,123.0,Action|Mystery|Sci-Fi|Thriller,The 6th Day ,English,82000000.0,5.9
Tom Shadyac,101.0,Comedy|Drama,Bruce Almighty ,English,81000000.0,6.7
Sylvester Stallone,113.0,Action|Adventure|Thriller,The Expendables ,English,80000000.0,6.5
Brian De Palma,110.0,Action|Adventure|Thriller,Mission: Impossible ,English,80000000.0,7.1
Gary Ross,142.0,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games ,English,78000000.0,7.3
Todd Phillips,102.0,Comedy,The Hangover Part II ,English,80000000.0,6.5
Tim Burton,126.0,Action,Batman Returns ,English,80000000.0,7.0
Tim Johnson,83.0,Adventure|Animation|Comedy|Family,Over the Hedge ,English,80000000.0,6.8
Dean DeBlois,85.0,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Lilo & Stitch ,English,80000000.0,7.2
Mimi Leder,120.0,Action|Drama|Romance|Sci-Fi|Thriller,Deep Impact ,English,75000000.0,6.1
Dean Parisot,116.0,Action|Comedy|Crime|Thriller,RED 2 ,English,84000000.0,6.7
Peter Segal,113.0,Comedy|Crime|Sport,The Longest Yard ,English,82000000.0,6.4
Mike Mitchell,87.0,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: Chipwrecked ,English,75000000.0,4.4
Dennis Dugan,101.0,Comedy,Grown Ups 2 ,English,80000000.0,5.4
Peter Segal,110.0,Action|Adventure|Comedy,Get Smart ,English,80000000.0,6.5
Nancy Meyers,128.0,Comedy|Drama|Romance,Something's Gotta Give ,English,80000000.0,6.7
Martin Scorsese,138.0,Mystery|Thriller,Shutter Island ,English,80000000.0,8.1
Seth Gordon,88.0,Comedy|Drama|Romance,Four Christmases ,English,80000000.0,5.6
Chris Wedge,91.0,Adventure|Animation|Comedy|Family|Sci-Fi,Robots ,English,75000000.0,6.3
John Woo,138.0,Action|Crime|Sci-Fi|Thriller,Face/Off ,English,80000000.0,7.3
Adam Shankman,99.0,Comedy|Family|Fantasy|Romance,Bedtime Stories ,English,80000000.0,6.1
Sam Mendes,117.0,Crime|Drama|Thriller,Road to Perdition ,English,80000000.0,7.7
Dennis Dugan,117.0,Comedy|Romance,Just Go with It ,English,80000000.0,6.4
Simon West,123.0,Action|Crime|Thriller,Con Air ,English,75000000.0,6.8
D.J. Caruso,118.0,Action|Mystery|Thriller,Eagle Eye ,English,80000000.0,6.6
Anthony Minghella,154.0,Adventure|Drama|History|Romance|War,Cold Mountain ,English,79000000.0,7.2
Albert Hughes,118.0,Action|Adventure|Drama|Thriller,The Book of Eli ,English,80000000.0,6.9
Les Mayfield,90.0,Comedy|Family|Sci-Fi,Flubber ,English,80000000.0,5.2
Jan de Bont,113.0,Fantasy|Horror|Mystery|Thriller,The Haunting ,English,80000000.0,4.9
Joe Pytka,88.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Space Jam ,English,80000000.0,6.3
Shawn Levy,93.0,Adventure|Comedy|Crime|Family|Mystery,The Pink Panther ,English,65000000.0,5.6
Scott Derrickson,104.0,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,English,80000000.0,5.5
Richard Donner,135.0,Action|Crime|Mystery|Romance|Thriller,Conspiracy Theory ,English,75000000.0,6.7
David Ayer,134.0,Action|Drama|War,Fury ,English,68000000.0,7.6
Ivan Reitman,98.0,Action|Adventure|Comedy|Romance,Six Days Seven Nights ,English,70000000.0,5.7
Eric Brevig,80.0,Adventure|Animation|Comedy|Family,Yogi Bear ,English,80000000.0,4.6
Kelly Asbury,83.0,Adventure|Animation|Family|Western,Spirit: Stallion of the Cimarron ,English,80000000.0,7.0
Frank Coraci,102.0,Comedy|Family|Romance,Zookeeper ,English,80000000.0,5.2
Stephen Hopkins,130.0,Action|Adventure|Family|Sci-Fi|Thriller,Lost in Space ,English,80000000.0,5.1
Jonathan Demme,129.0,Drama|Mystery|Sci-Fi|Thriller,The Manchurian Candidate ,English,80000000.0,6.6
Genndy Tartakovsky,89.0,Animation|Comedy|Family|Fantasy,Hotel Transylvania 2 ,English,80000000.0,6.7
James Algar,74.0,Animation|Family|Fantasy|Music,Fantasia 2000 ,English,80000000.0,7.3
Simon Wells,96.0,Action|Adventure|Sci-Fi,The Time Machine ,English,80000000.0,5.9
Ron Underwood,114.0,Action|Adventure|Family|Fantasy|Thriller,Mighty Joe Young ,English,90000000.0,5.6
Dominic Sena,99.0,Action|Crime|Thriller,Swordfish ,English,80000000.0,6.5
Martin Campbell,129.0,Action|Adventure|Western,The Legend of Zorro ,Spanish,75000000.0,5.9
Vincent Ward,113.0,Drama|Fantasy|Romance,What Dreams May Come ,English,85000000.0,7.0
Steven Brill,90.0,Comedy|Fantasy,Little Nicky ,English,80000000.0,5.3
Terry Gilliam,118.0,Action|Adventure|Comedy|Fantasy|Thriller,The Brothers Grimm ,English,88000000.0,5.9
Tim Burton,106.0,Action|Comedy|Sci-Fi,Mars Attacks! ,English,70000000.0,6.3
Jonathan Mostow,89.0,Action|Sci-Fi|Thriller,Surrogates ,English,80000000.0,6.3
Roger Donaldson,145.0,Drama|History|Thriller,Thirteen Days ,English,80000000.0,7.3
Rob Cohen,114.0,Action|Adventure|Drama|Thriller,Daylight ,English,80000000.0,5.8
Barry Cook,87.0,Adventure|Animation|Family,Walking with Dinosaurs 3D ,English,80000000.0,5.2
Joe Dante,91.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Looney Tunes: Back in Action ,English,80000000.0,5.7
Rob Marshall,118.0,Drama|Musical|Romance,Nine ,English,80000000.0,5.8
Richard Donner,116.0,Action|Adventure|Sci-Fi,Timeline ,English,80000000.0,5.6
George Miller,97.0,Adventure|Comedy|Drama|Family|Fantasy,Babe: Pig in the City ,English,80000000.0,5.8
Breck Eisner,106.0,Action|Adventure|Fantasy,The Last Witch Hunter ,English,90000000.0,6.0
Antony Hoffman,106.0,Action|Sci-Fi|Thriller,Red Planet ,English,70000000.0,5.7
Luc Besson,94.0,Adventure|Animation|Family|Fantasy,Arthur and the Invisibles ,English,86000000.0,6.0
Jacques Perrin,104.0,Documentary|Drama,Oceans ,French,40000000.0,7.8
Peter Hyams,102.0,Action|Adventure|Horror|Sci-Fi|Thriller,A Sound of Thunder ,English,52000000.0,4.2
Paul W.S. Anderson,105.0,Action|Adventure|Drama|History|Romance,Pompeii ,English,80000000.0,5.6
Andrés Couturier,89.0,Animation|Family,Top Cat Begins ,Spanish,8000000.0,4.4
Ron Howard,135.0,Biography|Drama,A Beautiful Mind ,English,58000000.0,8.2
Roger Allers,73.0,Adventure|Animation|Drama|Family|Musical,The Lion King ,English,45000000.0,8.5
Brad Peyton,94.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Journey 2: The Mysterious Island ,English,79000000.0,5.8
Cody Cameron,95.0,Animation|Comedy|Family|Fantasy|Sci-Fi,Cloudy with a Chance of Meatballs 2 ,English,78000000.0,6.5
Brett Ratner,124.0,Crime|Drama|Thriller,Red Dragon ,English,78000000.0,7.2
John Singleton,107.0,Action|Crime|Thriller,2 Fast 2 Furious ,English,76000000.0,5.9
Mark Osborne,108.0,Adventure|Animation|Drama|Family|Fantasy,The Little Prince ,English,81200000.0,7.8
Oliver Hirschbiegel,99.0,Sci-Fi|Thriller,The Invasion ,English,80000000.0,5.9
Des McAnuff,92.0,Adventure|Animation|Comedy|Family|Fantasy,The Adventures of Rocky & Bullwinkle ,English,76000000.0,4.1
Yarrow Cheney,87.0,Animation|Comedy|Family,The Secret Life of Pets ,English,75000000.0,6.8
Stephen Norrington,110.0,Action|Adventure|Fantasy|Sci-Fi,The League of Extraordinary Gentlemen ,English,78000000.0,5.8
Pierre Coffin,98.0,Animation|Comedy|Family|Sci-Fi,Despicable Me 2 ,English,76000000.0,7.5
Roland Emmerich,154.0,Action|Adventure|Sci-Fi,Independence Day ,English,75000000.0,6.9
Steven Spielberg,129.0,Action|Adventure|Sci-Fi,The Lost World: Jurassic Park ,English,73000000.0,6.5
Eric Darnell,86.0,Adventure|Animation|Comedy|Family,Madagascar ,English,75000000.0,6.9
Alfonso Cuarón,109.0,Drama|Sci-Fi|Thriller,Children of Men ,English,76000000.0,7.9
Bryan Singer,104.0,Action|Adventure|Sci-Fi,X-Men ,English,75000000.0,7.4
Timur Bekmambetov,110.0,Action|Crime|Fantasy|Thriller,Wanted ,English,75000000.0,6.7
Michael Bay,136.0,Action|Adventure|Thriller,The Rock ,English,75000000.0,7.4
Carlos Saldanha,115.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Ice Age: The Meltdown ,English,80000000.0,6.9
Peter Segal,99.0,Comedy|Romance,50 First Dates ,English,75000000.0,6.8
Adam Shankman,117.0,Comedy|Drama|Family|Music|Musical|Romance,Hairspray ,English,75000000.0,6.7
Renny Harlin,125.0,Horror|Mystery|Thriller,Exorcist: The Beginning ,English,50000000.0,5.1
David Kellogg,110.0,Action|Adventure|Comedy|Family|Sci-Fi,Inspector Gadget ,English,75000000.0,4.1
Louis Leterrier,125.0,Crime|Mystery|Thriller,Now You See Me ,English,75000000.0,7.3
Dennis Dugan,102.0,Comedy,Grown Ups ,English,80000000.0,6.0
Steven Spielberg,128.0,Comedy|Drama,The Terminal ,English,60000000.0,7.3
Thor Freudenthal,100.0,Comedy|Family,Hotel for Dogs ,English,35000000.0,5.4
Martin Campbell,124.0,Action|Adventure|Drama|Thriller,Vertical Limit ,English,75000000.0,5.9
Mike Nichols,102.0,Biography|Comedy|Drama|History,Charlie Wilson's War ,English,75000000.0,7.1
Bibo Bergeron,90.0,Adventure|Animation|Comedy|Family,Shark Tale ,English,75000000.0,6.0
Bill Condon,130.0,Drama|Music|Musical,Dreamgirls ,English,70000000.0,6.5
F. Gary Gray,118.0,Comedy|Crime|Music,Be Cool ,English,53000000.0,5.7
Antoine Fuqua,142.0,Action|Drama|Thriller|War,Tears of the Sun ,English,70000000.0,6.6
Robert Luketic,100.0,Action|Comedy|Romance|Thriller,Killers ,English,75000000.0,5.4
Guy Ritchie,116.0,Action|Adventure|Comedy,The Man from U.N.C.L.E. ,English,75000000.0,7.3
James L. Brooks,131.0,Comedy|Drama|Romance,Spanglish ,English,80000000.0,6.5
Gil Kenan,91.0,Animation|Comedy|Family|Fantasy|Mystery,Monster House ,English,75000000.0,6.6
Barry Levinson,123.0,Comedy|Crime|Drama|Romance,Bandits ,English,80000000.0,6.6
Jerry Zucker,134.0,Action|Adventure|Romance|Thriller,First Knight ,English,55000000.0,5.9
Andy Tennant,148.0,Drama|History|Romance,Anna and the King ,English,75000000.0,6.7
Tarsem Singh,110.0,Action|Drama|Fantasy|Romance,Immortals ,English,75000000.0,6.1
Florent-Emilio Siri,113.0,Action|Crime|Drama|Mystery|Thriller,Hostage ,English,52000000.0,6.6
Don Bluth,94.0,Action|Adventure|Animation|Family|Sci-Fi,Titan A.E. ,English,75000000.0,6.6
Ron Shelton,116.0,Action|Comedy|Crime|Thriller,Hollywood Homicide ,English,75000000.0,5.3
Paul W.S. Anderson,99.0,Action|Drama|Sci-Fi,Soldier ,English,75000000.0,6.0
Henry Selick,93.0,Animation|Comedy|Fantasy,Monkeybone ,English,75000000.0,4.7
John Moore,113.0,Action|Adventure|Drama|Thriller,Flight of the Phoenix ,English,45000000.0,6.1
M. Night Shyamalan,106.0,Drama|Mystery|Sci-Fi|Thriller,Unbreakable ,English,75000000.0,7.2
Kyle Balda,91.0,Action|Animation|Comedy|Family|Sci-Fi,Minions ,English,74000000.0,6.4
Zack Snyder,128.0,Action|Fantasy,Sucker Punch ,English,82000000.0,6.1
Brian De Palma,98.0,Crime|Mystery|Thriller,Snake Eyes ,English,69000000.0,5.9
Barry Levinson,134.0,Drama|Mystery|Sci-Fi|Thriller,Sphere ,English,75000000.0,6.0
Clay Kaytis,97.0,Action|Animation|Comedy|Family,The Angry Birds Movie ,English,73000000.0,6.3
Andy Tennant,112.0,Action|Adventure|Comedy|Romance|Thriller,Fool's Gold ,English,70000000.0,5.6
Judd Apatow,153.0,Comedy|Drama,Funny People ,English,75000000.0,6.4
Peter Berg,110.0,Action|Drama|Thriller,The Kingdom ,English,70000000.0,7.1
Adam McKay,122.0,Action|Comedy|Sport,Talladega Nights: The Ballad of Ricky Bobby ,English,73000000.0,6.6
Steve Carr,87.0,Comedy|Family|Fantasy,Dr. Dolittle 2 ,English,72000000.0,4.6
Sam Mendes,125.0,Action|Drama|War,Jarhead ,English,70000000.0,7.1
David Silverman,87.0,Adventure|Animation|Comedy,The Simpsons Movie ,English,75000000.0,7.4
Frank Darabont,152.0,Drama|Romance,The Majestic ,English,72000000.0,6.9
Renny Harlin,116.0,Action|Drama|Sport,Driven ,English,72000000.0,4.5
Jean-Jacques Annaud,109.0,Adventure|Drama|Family,Two Brothers ,English,59660000.0,7.1
M. Night Shyamalan,108.0,Drama|Mystery|Romance|Thriller,The Village ,English,60000000.0,6.5
Betty Thomas,85.0,Comedy|Family|Fantasy,Doctor Dolittle ,English,71500000.0,5.3
M. Night Shyamalan,106.0,Drama|Sci-Fi|Thriller,Signs ,English,72000000.0,6.7
Garry Marshall,116.0,Comedy|Romance,Runaway Bride ,English,70000000.0,5.5
Rob Cohen,132.0,Action|Adventure|Thriller,xXx ,English,70000000.0,5.8
Paul Tibbitt,92.0,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob Movie: Sponge Out of Water ,English,74000000.0,6.0
Ron Howard,139.0,Crime|Thriller,Ransom ,English,80000000.0,6.6
Quentin Tarantino,153.0,Adventure|Drama|War,Inglourious Basterds ,English,75000000.0,8.3
Steven Spielberg,142.0,Adventure|Comedy|Family|Fantasy,Hook ,English,70000000.0,6.7
Renny Harlin,124.0,Action|Thriller,Die Hard 2 ,English,70000000.0,7.1
Clark Johnson,117.0,Action|Adventure|Crime|Thriller,S.W.A.T. ,English,80000000.0,6.0
Cameron Crowe,141.0,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Vanilla Sky ,English,68000000.0,6.9
M. Night Shyamalan,110.0,Drama|Fantasy|Mystery|Thriller,Lady in the Water ,English,70000000.0,5.6
Paul W.S. Anderson,109.0,Action|Horror|Sci-Fi|Thriller,AVP: Alien vs. Predator ,English,60000000.0,5.6
Betty Thomas,88.0,Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Squeakquel ,English,75000000.0,4.5
Randall Wallace,124.0,Action|Drama|History|War,We Were Soldiers ,English,75000000.0,7.1
Antoine Fuqua,119.0,Action|Thriller,Olympus Has Fallen ,English,70000000.0,6.5
Jonathan Frakes,103.0,Action|Adventure|Sci-Fi|Thriller,Star Trek: Insurrection ,English,58000000.0,6.4
Jonathan Liebesman,116.0,Action|Sci-Fi,Battle Los Angeles ,English,70000000.0,5.8
Tim Burton,125.0,Adventure|Drama|Fantasy,Big Fish ,English,70000000.0,8.0
Mike Nichols,125.0,Drama|Horror|Romance|Thriller,Wolf ,English,70000000.0,6.2
Steven Spielberg,146.0,Drama|War,War Horse ,English,66000000.0,7.2
George Clooney,118.0,Drama|War,The Monuments Men ,English,70000000.0,6.1
Oliver Stone,136.0,Drama,Wall Street: Money Never Sleeps ,English,70000000.0,6.3
Gary Shore,92.0,Action|Drama|Fantasy|Horror|War,Dracula Untold ,English,70000000.0,6.3
Edward Zwick,116.0,Action|Thriller,The Siege ,English,70000000.0,6.3
Matthew Vaughn,127.0,Adventure|Family|Fantasy|Romance,Stardust ,English,70000000.0,7.7
Jean-Jacques Annaud,136.0,Adventure|Biography|Drama|History|War,Seven Years in Tibet ,English,70000000.0,7.0
Ron Howard,111.0,Comedy|Drama,The Dilemma ,English,70000000.0,5.3
Joel Schumacher,116.0,Action|Adventure|Comedy|Thriller,Bad Company ,English,70000000.0,5.6
Andrzej Bartkowiak,113.0,Action|Adventure|Horror|Sci-Fi,Doom ,English,60000000.0,5.2
Betty Thomas,97.0,Action|Adventure|Comedy|Thriller,I Spy ,English,70000000.0,5.4
Måns Mårlind,88.0,Action|Fantasy|Horror,Underworld: Awakening ,English,70000000.0,6.4
Adam Shankman,136.0,Comedy|Drama|Musical|Romance,Rock of Ages ,English,75000000.0,5.9
Gregory Hoblit,125.0,Drama|War,Hart's War ,English,60000000.0,6.3
Gary McKendry,116.0,Action|Crime|Thriller,Killer Elite ,English,35000000.0,6.5
Wych Kaosayananda,91.0,Action|Crime|Sci-Fi|Thriller,Ballistic: Ecks vs. Sever ,English,70000000.0,3.6
Mikael Salomon,97.0,Action|Crime|Drama|Thriller,Hard Rain ,English,70000000.0,5.8
Bobby Farrelly,95.0,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Osmosis Jones ,English,70000000.0,6.2
Will Finn,88.0,Adventure|Animation|Family|Fantasy|Musical,Legends of Oz: Dorothy's Return ,English,70000000.0,5.6
Michael Mann,133.0,Action|Crime|Drama|Mystery|Thriller,Blackhat ,English,70000000.0,5.4
Kerry Conran,106.0,Action|Adventure|Mystery|Sci-Fi|Thriller,Sky Captain and the World of Tomorrow ,English,70000000.0,6.1
Michael Caton-Jones,116.0,Crime|Mystery|Thriller,Basic Instinct 2 ,English,70000000.0,4.2
Mikael Håfström,115.0,Action|Crime|Mystery|Sci-Fi|Thriller,Escape Plan ,English,50000000.0,6.7
Renny Harlin,99.0,Action|Adventure|Fantasy,The Legend of Hercules ,English,70000000.0,4.2
Phil Alden Robinson,124.0,Action|Drama|Thriller,The Sum of All Fears ,English,68000000.0,6.4
David Slade,124.0,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Eclipse ,English,68000000.0,4.9
Frank Oz,124.0,Crime|Drama|Thriller,The Score ,English,68000000.0,6.8
Pierre Coffin,87.0,Animation|Comedy|Family,Despicable Me ,English,69000000.0,7.7
Joseph Ruben,105.0,Action|Comedy|Crime|Drama|Thriller,Money Train ,English,68000000.0,5.6
Seth MacFarlane,125.0,Comedy,Ted 2 ,English,68000000.0,6.4
Alejandro Amenábar,141.0,Adventure|Drama|History|Romance,Agora ,English,70000000.0,7.2
Kinka Usher,121.0,Action|Comedy|Fantasy|Sci-Fi,Mystery Men ,English,65000000.0,6.0
Bobby Farrelly,111.0,Comedy|Romance,Hall Pass ,English,36000000.0,5.9
Ridley Scott,128.0,Action|Drama|Thriller,Body of Lies ,English,70000000.0,7.1
Timur Bekmambetov,105.0,Action|Fantasy|Horror,Abraham Lincoln: Vampire Hunter ,English,69000000.0,5.9
Jon Amiel,113.0,Action|Crime|Romance|Thriller,Entrapment ,English,66000000.0,6.2
Rob Bowman,121.0,Drama|Mystery|Sci-Fi|Thriller,The X Files ,English,66000000.0,7.0
Doug Lefler,102.0,Action|Adventure|Fantasy|War,The Last Legion ,English,35000000.0,5.4
Scott Waugh,132.0,Action|Crime|Drama|Thriller,Need for Speed ,English,66000000.0,6.5
Nancy Meyers,127.0,Comedy|Fantasy|Romance,What Women Want ,English,70000000.0,6.4
Chris Wedge,103.0,Adventure|Animation|Comedy|Family,Ice Age ,English,59000000.0,7.6
